Region,Country,Organization Name,url,email,phone,Sector,Institution Type,website languages,Concatenated for export,verified url,Notes
ASIA,AFGHANISTAN,AFG(BRAC Afghanistan),http://brac.net/,ariful.ki@brac.net,+93 (0) 700 288 300,,,,"Organization Name: AFG(BRAC Afghanistan)
url: http://brac.net/
email: ariful.ki@brac.net
phone: +93 (0) 700 288 300",yes,
ASIA,AFGHANISTAN,Afghanistan Microfinance Institution(CHF International),http://www.chfinternational.org/afghanistan,mailbox@chfinternational.org,+1 301-587-4700,"housing,SME,credit",NGO,"english,spanish,french,arabic","Organization Name: Afghanistan Microfinance Institution(CHF International)
url: http://www.chfinternational.org/afghanistan
email: mailbox@chfinternational.org
phone: +1 301-587-4700",yes,
ASIA,AFGHANISTAN,Afghanistan Rural Microcredit Programme(Aga Khan Development Network),http://www.akdn.org/akam,,,,,,"Organization Name: Afghanistan Rural Microcredit Programme(Aga Khan Development Network)
url: http://www.akdn.org/akam
email: 
phone: ",,
ASIA,AFGHANISTAN,Ariana Financial Services(Mercy Corps,http://www.mercycorps.org,,,,,,"Organization Name: Ariana Financial Services(Mercy Corps
url: http://www.mercycorps.org
email: 
phone: ",,
ASIA,AFGHANISTAN,Parwaz MicroFinance Institution,http://www.parwaz.org,,,,,,"Organization Name: Parwaz MicroFinance Institution
url: http://www.parwaz.org
email: 
phone: ",,
EUROPE,ALBANIA, Albanian Savings and Credit Union(formerly Rural Financial Fund),http://www.ascunion.org.al,,,,,,"Organization Name:  Albanian Savings and Credit Union(formerly Rural Financial Fund)
url: http://www.ascunion.org.al
email: 
phone: ",,
EUROPE,ALBANIA,BESA Fund,http://www.fondibesa.com/en/,,,,,,"Organization Name: BESA Fund
url: http://www.fondibesa.com/en/
email: 
phone: ",,
EUROPE,ALBANIA,Mountain Areas Finance Fund(MAFF),http://www.ffzm.org,,,,,,"Organization Name: Mountain Areas Finance Fund(MAFF)
url: http://www.ffzm.org
email: 
phone: ",,
EUROPE,ALBANIA,ProCredit Bank,http://www.procreditbank.com.al,,,,,,"Organization Name: ProCredit Bank
url: http://www.procreditbank.com.al
email: 
phone: ",,
AFRICA,ANGOLA,KixiCredito,http://www.angonet.org,,,,,,"Organization Name: KixiCredito
url: http://www.angonet.org
email: 
phone: ",,
LATIN AMERICA & CARRIBEAN,ARGENTINA,FONCAP SA- Fondo de Capital Social,http://www.foncap.com.ar/,,,,,,"Organization Name: FONCAP SA- Fondo de Capital Social
url: http://www.foncap.com.ar/
email: 
phone: ",,
EUROPE,ARMENIA,INECO Bank,http://www.inecobank.am,,,,,,"Organization Name: INECO Bank
url: http://www.inecobank.am
email: 
phone: ",,
ASIA,BANGLADESH,ASA- Association for Social Advancement,http://www.asabd.org/,,,,,,"Organization Name: ASA- Association for Social Advancement
url: http://www.asabd.org/
email: 
phone: ",,
ASIA,BANGLADESH,BRAC(formerly Bangladesh Rural Advancement Committee),http://www.brac.net,,,,,,"Organization Name: BRAC(formerly Bangladesh Rural Advancement Committee)
url: http://www.brac.net
email: 
phone: ",,
ASIA,BANGLADESH,Grameen Bank,http://www.grameen-info.org/,,,,,,"Organization Name: Grameen Bank
url: http://www.grameen-info.org/
email: 
phone: ",,
ASIA,BANGLADESH,Integrated Development Foundation,http://idfbd.org/,,,,,,"Organization Name: Integrated Development Foundation
url: http://idfbd.org/
email: 
phone: ",,
ASIA,BANGLADESH,Jagorani Chakra Foundation,http://www.jcf-bd.org/,"admin@jcf-bd.org, 
jcfmfi@gmail.com",+880-421-68823,All,MFI,"english,bangledeshi","Organization Name: Jagorani Chakra Foundation
url: http://www.jcf-bd.org/
email: admin@jcf-bd.org, 
jcfmfi@gmail.com
phone: +880-421-68823",yes,Website has alot of images and javascript
ASIA,BANGLADESH,Proshika,http://www.proshika.org/,,,,,,"Organization Name: Proshika
url: http://www.proshika.org/
email: 
phone: ",,
